377
12
|
SCRIPT_TYPE1|SCRIPT_TYPE10|SCRIPT_TYPE11|SCRIPT_TYPE12|SCRIPT_TYPE2|SCRIPT_TYPE3|SCRIPT_TYPE4|SCRIPT_TYPE5|SCRIPT_TYPE6|SCRIPT_TYPE7|SCRIPT_TYPE8|SCRIPT_TYPE9|Christlein_Nb|Class|Orig_Format|Duplicate_Format|Duplicate|RGB/BW|ImgFileName|FileName|Orig_ImgFileName|Tensmeyer_Nb|FILENAME
0.0106127729026|0.188331287729|0.221061233056|0.000183040802023|0.0482529990386|0.247678584126|0.00373534282854|0.0394448735847|0.19475944358|0.0272498096812|0.0166787149873|0.00201189768489|1|ARS95|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/gallica.bnf.fr-iiif-ark_-12148-btv1b52509140g-f12-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b52509140g-f12-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b52509140g-f12-full-full-0-native.jpg|220|gallica.bnf.fr-iiif-ark_-12148-btv1b52509140g-f12-full-full-0-native.jpg
0.00845096627086|0.00296236206499|0.150350648405|0.0129734528735|0.00659601594935|0.0215286272532|0.0121305109573|0.0021733235083|0.00596185301714|0.743761541882|0.0284413470648|0.00466935075395|2|LAT1919|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/gallica.bnf.fr-iiif-ark_-12148-btv1b105409857-f12-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b105409857-f12-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b105409857-f12-full-full-0-native.jpg|291|gallica.bnf.fr-iiif-ark_-12148-btv1b105409857-f12-full-full-0-native.jpg
0.00514496612193|0.0005113999338|0.406143739404|0.00129233108522|0.00125454166613|0.045575585579|0.00179535005402|0.028395190287|0.422562217754|0.0136168979542|0.00722745410841|0.0664803260523|3|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0010_tif.bmp|FRAD021_15_H_120_0010_tif.bmp|FRAD021_15_H_120_0010.tif|280|FRAD021_15_H_120_0010.jpg
0.0456105650105|0.000354531159084|0.426781513286|0.00200600896328|0.0614883130513|0.00482966232668|0.00500904527986|0.00201401626562|0.173672106783|0.219641094661|0.0119009446287|0.0466921985844|4|LAT5296C|JPG|NA|NO|Grey|../../Fontenay_WriterID_small/gallica.bnf.fr-iiif-ark_-12148-btv1b10032715k-f286-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b10032715k-f286-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b10032715k-f286-full-full-0-native.jpg|217|gallica.bnf.fr-iiif-ark_-12148-btv1b10032715k-f286-full-full-0-native.jpg
0.020155575897|0.00123970767892|0.489910855959|0.0039548382506|0.000215243530399|0.00213483629252|0.000208699993791|0.00230411624228|0.334991044398|0.0415522160055|0.039414761464|0.0639181042889|5|LAT620|JPG|NA|NO|Grey|../../Fontenay_WriterID_small/gallica.bnf.fr-iiif-ark_-12148-btv1b10036602t-f10-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b10036602t-f10-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b10036602t-f10-full-full-0-native.jpg|46|gallica.bnf.fr-iiif-ark_-12148-btv1b10036602t-f10-full-full-0-native.jpg
0.00213849810899|4.23735613614e-05|0.438283409349|0.0256013120587|0.000367781619913|0.000677283966926|0.000475375918129|0.00081892439986|0.150174061449|0.349809188583|0.0169381309269|0.0146736600578|6|Script-2a|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_249_0022_jpg.bmp|FRAD021_15_H_249_0022_jpg.bmp|FRAD021_15_H_249_0022.jpg|74|FRAD021_15_H_249_0022.jpg
0.0148065244561|0.000333740973137|0.223866747303|0.018168044069|0.0563409815894|0.0309833384056|0.00142718810789|0.00506244732676|0.46804373687|0.0881137078274|0.0237494349261|0.0691041081448|7|ARS150|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/gallica.bnf.fr-iiif-ark_-12148-btv1b525091448-f11-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b525091448-f11-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b525091448-f11-full-full-0-native.jpg|272|gallica.bnf.fr-iiif-ark_-12148-btv1b525091448-f11-full-full-0-native.jpg
0.00415567501831|0.000198719277394|0.441499290824|0.00530489154501|0.00199681869894|0.0112848772135|0.00367286368205|0.0180641240107|0.33030995322|0.135016602515|0.0423759449417|0.00612023905262|8|Script-3a|JPG|D-jpg|Y21|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_279_0002_jpg.bmp|FRAD021_15_H_279_0002_jpg.bmp|FRAD021_15_H_279_0002.jpg|124|FRAD021_15_H_279_0002.jpg
0.00151820069812|0.000156679472923|0.125466146964|0.0214102083996|0.0124738176847|0.00586933525731|0.00987771307877|0.00996684100945|0.0100917087618|0.753790117055|0.0263221536802|0.0230570779376|9|LAT2427|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/gallica.bnf.fr-iiif-ark_-12148-btv1b105420753-f12-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b105420753-f12-full-full-0-native_jpg.bmp|gallica.bnf.fr-iiif-ark_-12148-btv1b105420753-f12-full-full-0-native.jpg|101|gallica.bnf.fr-iiif-ark_-12148-btv1b105420753-f12-full-full-0-native.jpg
0.0166953387783|0.00283994659277|0.232687369165|0.00828317322991|0.123139615983|0.276434152572|0.000149953313946|0.0028132734352|0.305199617598|0.0260000504831|0.00347338613125|0.00228412271671|10|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_120_0012_jpg.bmp|FRAD021_15_H_120_0012_jpg.bmp|FRAD021_15_H_120_0012.jpg|98|FRAD021_15_H_120_0012.jpg
